id,cuisine
18009,southern_us
28583,italian
41580,italian
29752,mexican
35687,italian
38527,southern_us
19666,italian
41217,mexican
28753,mexican
22659,mexican
21749,italian
44967,mexican
42969,italian
44883,italian
20827,italian
23196,italian
35387,italian
33780,italian
19001,italian
16526,italian
42455,mexican
47453,italian
42478,italian
11885,italian
16585,mexican
29639,italian
26245,italian
38516,southern_us
47520,italian
26212,italian
23696,italian
14926,mexican
13292,italian
27346,italian
1384,italian
15959,italian
42297,mexican
46235,italian
21181,italian
9809,mexican
22982,italian
23120,italian
26743,italian
12741,mexican
7050,italian
22437,italian
14760,italian
10649,italian
48065,italian
39931,italian
32935,mexican
40142,mexican
19103,italian
38267,italian
30512,italian
3324,italian
26197,italian
384,italian
47230,mexican
39748,italian
41038,italian
24878,italian
42624,italian
45706,italian
8874,italian
23878,mexican
47234,italian
24075,mexican
46323,mexican
22562,italian
11358,italian
9201,mexican
38620,italian
47638,southern_us
21238,italian
11053,italian
46602,italian
13937,mexican
21876,italian
20798,mexican
24381,italian
48178,italian
45832,italian
27560,mexican
23247,italian
28975,italian
43230,mexican
9126,italian
13021,indian
28194,italian
25617,italian
36125,italian
16454,italian
1607,mexican
38526,italian
18755,italian
12035,italian
16047,italian
15419,mexican
16971,italian
31459,southern_us
27888,italian
13900,italian
12376,italian
1658,italian
29431,italian
22290,italian
28464,mexican
37953,italian
20814,italian
35987,italian
2329,italian
43237,italian
30647,italian
16675,italian
37722,mexican
32438,italian
20287,mexican
43296,italian
6237,italian
48560,italian
20810,italian
34951,italian
31850,italian
47745,italian
37815,italian
9872,italian
5592,italian
27411,mexican
39320,italian
40247,italian
19792,italian
40754,italian
14365,mexican
14468,italian
47563,mexican
19611,mexican
7163,italian
43069,italian
27505,mexican
36500,italian
25932,italian
817,italian
8471,italian
48250,southern_us
9413,indian
12097,italian
8416,mexican
5892,italian
676,italian
47015,italian
21891,italian
14630,italian
36195,mexican
25981,italian
39964,italian
28298,italian
31954,italian
26620,italian
14932,southern_us
47426,italian
1038,southern_us
8077,southern_us
37141,southern_us
45447,italian
9624,italian
45589,italian
7265,italian
31844,italian
13046,italian
9867,mexican
29184,italian
34783,italian
2823,mexican
18932,mexican
11112,italian
12859,mexican
9365,italian
44516,italian
18193,italian
46545,italian
9900,italian
14815,italian
39690,italian
22193,italian
11739,italian
27311,italian
36920,italian
7861,italian
29248,italian
43142,mexican
7574,italian
8610,italian
989,italian
46926,southern_us
40816,italian
39726,italian
42229,mexican
10474,italian
22140,indian
31985,mexican
46165,italian
20860,italian
42494,italian
15968,italian
20484,italian
26661,mexican
47182,italian
22528,southern_us
3861,italian
1203,italian
45040,italian
33287,mexican
10097,italian
42005,italian
12423,mexican
39613,italian
30276,italian
18686,italian
3031,italian
40093,italian
182,italian
46591,italian
4092,mexican
13722,southern_us
44575,italian
14989,italian
13270,southern_us
25529,italian
12140,mexican
23127,mexican
13523,italian
41270,italian
8362,italian
11735,italian
27935,italian
28198,mexican
37765,italian
33856,italian
30198,italian
42521,southern_us
21567,italian
36995,italian
24967,italian
45002,italian
48925,italian
36914,italian
2280,southern_us
14729,italian
4594,italian
